ISO,Disaster Group,Counts
AFG,Natural,217
AGO,Natural,70
AIA,Natural,13
ALB,Natural,49
ANT,Natural,4
ARE,Technological,9
ARG,Natural,144
ARM,Natural,15
ASM,Natural,6
ATG,Natural,12
AUS,Natural,240
AUT,Natural,62
AZE,Natural,15
AZO,Natural,6
BDI,Natural,65
BEL,Natural,83
BEN,Natural,50
BFA,Natural,48
BGD,Natural,351
BGR,Natural,61
BHR,Technological,5
BHS,Natural,27
BIH,Natural,35
BLM,Natural,1
BLR,Natural,22
BLZ,Natural,24
BMU,Natural,6
BOL,Natural,112
BRA,Natural,260
BRB,Natural,14
BRN,Natural,1
BTN,Natural,11
BWA,Natural,18
CAF,Natural,50
CAN,Natural,152
CCK,Natural,1
CHE,Natural,72
CHL,Natural,130
CHN,Natural,839
CIV,Natural,32
CMR,Natural,60
COD,Technological,161
COG,Natural,37
COK,Natural,13
COL,Natural,239
COM,Natural,23
CPV,Natural,14
CRI,Natural,77
CSK,Natural,9
CUB,Natural,89
CUW,Technological,1
CYM,Natural,7
CYP,Natural,18
CZE,Natural,42
DDR,Natural,3
DEU,Natural,97
DFR,Natural,20
DJI,Natural,22
DMA,Natural,14
DNK,Natural,19
DOM,Natural,85
DZA,Natural,94
ECU,Natural,120
EGY,Technological,139
ERI,Natural,7
ESP,Natural,114
EST,Natural,9
ETH,Natural,115
FIN,Natural,5
FJI,Natural,59
FRA,Natural,204
FSM,Natural,10
GAB,Natural,14
GBR,Natural,108
GEO,Natural,28
GHA,Natural,54
GIN,Technological,45
GLP,Natural,18
GMB,Natural,26
GNB,Natural,20
GNQ,Technological,13
GRC,Natural,113
GRD,Natural,10
GTM,Natural,142
GUF,Natural,4
GUM,Natural,11
GUY,Natural,11
HKG,Natural,128
HND,Natural,89
HRV,Natural,40
HTI,Natural,124
HUN,Natural,43
IDN,Natural,589
IMN,Natural,1
IND,Natural,714
IRL,Natural,28
IRN,Natural,251
IRQ,Natural,31
ISL,Natural,14
ISR,Natural,21
ITA,Natural,188
JAM,Natural,50
JOR,Natural,19
JPN,Natural,368
KAZ,Natural,31
KEN,Natural,118
KGZ,Natural,43
KHM,Natural,44
KIR,Natural,5
KNA,Natural,11
KOR,Natural,127
KWT,Natural,3
LAO,Natural,52
LBN,Natural,17
LBR,Natural,23
LBY,Technological,54
LCA,Natural,23
LIE,Natural,1
LKA,Natural,125
LSO,Natural,21
LTU,Natural,20
LUX,Natural,13
LVA,Natural,15
MAC,Natural,5
MAF,Natural,1
MAR,Natural,65
MDA,Natural,18
MDG,Natural,97
MDV,Natural,9
MEX,Natural,280
MHL,Natural,9
MKD,Natural,30
MLI,Natural,49
MLT,Technological,8
MMR,Natural,98
MNE,Natural,9
MNG,Natural,49
MNP,Natural,5
MOZ,Natural,115
MRT,Natural,36
MSR,Natural,7
MTQ,Natural,18
MUS,Natural,26
MWI,Natural,74
MYS,Natural,105
MYT,Technological,3
NAM,Natural,28
NCL,Natural,19
NER,Natural,87
NGA,Technological,233
NIC,Natural,83
NIU,Natural,6
NLD,Natural,50
NOR,Natural,17
NPL,Natural,155
NZL,Natural,83
OMN,Natural,19
PAK,Natural,261
PAN,Natural,61
PER,Natural,226
PHL,Natural,591
PLW,Natural,5
PNG,Natural,101
POL,Natural,81
PRI,Natural,35
PRK,Natural,46
PRT,Natural,59
PRY,Natural,57
PSE,Natural,11
PYF,Natural,8
QAT,Technological,4
REU,Natural,17
ROU,Natural,110
RUS,Natural,186
RWA,Natural,55
SAU,Technological,34
SCG,Natural,18
SDN,Natural,94
SEN,Natural,45
SGP,Natural,4
SHN,Natural,1
SLB,Natural,33
SLE,Natural,36
SLV,Natural,73
SOM,Natural,97
SPI,Natural,11
SRB,Natural,39
SSD,Natural,27
STP,Natural,5
SUN,Natural,53
SUR,Natural,5
SVK,Natural,32
SVN,Natural,17
SWE,Natural,19
SWZ,Natural,13
SXM,Natural,1
SYC,Natural,7
SYR,Technological,23
TCA,Natural,5
TCD,Natural,62
TGO,Natural,27
THA,Natural,170
TJK,Natural,91
TKL,Natural,6
TKM,Natural,2
TLS,Natural,14
TON,Natural,25
TTO,Natural,16
TUN,Technological,37
TUR,Natural,217
TUV,Natural,8
TWN,Natural,129
TZA,Natural,108
UGA,Natural,110
UKR,Technological,50
URY,Natural,44
USA,Natural,896
UZB,Natural,11
VCT,Natural,26
VEN,Natural,66
VGB,Natural,3
VIR,Natural,6
VNM,Natural,248
VUT,Natural,53
WLF,Natural,5
WSM,Natural,17
YEM,Natural,65
YMD,Natural,5
YMN,Natural,6
YUG,Natural,21
ZAF,Natural,123
ZMB,Natural,50
ZWE,Natural,52
