Event Name,Country,ISO,Disaster Group,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Magnitude,Magnitude Unit,Losses
,Jordan,JOR,FL,31.1847222,35.7047218,2025,02,05,2025,02,07,0.0,,
,Papua New Guinea,PNG,EQ,-2.8138,141.6201,2025,02,06,2025,02,06,5.1,M,
,Indonesia,IDN,EQ,4.4689,126.6945,2025,02,06,2025,02,06,5.4,M,
,Chile,CHL,EQ,-42.4508,-74.2463,2025,02,06,2025,02,06,4.8,M,
VINCE-25,Cocos (Keeling) Islands,,TC,-19.47,81.62,2025,02,01,2025,02,06,232.220736,km/h,
TALIAH-25,,,TC,-14.9,103.8,2025,02,02,2025,02,06,157.4064,km/h,
,Greece,GRC,EQ,36.5204,25.4862,2025,02,06,2025,02,06,4.6,M,
,Chile,CHL,EQ,-30.0276,-71.2882,2025,02,06,2025,02,06,4.6,M,
,Greece,GRC,EQ,36.6462,25.6136,2025,02,06,2025,02,06,4.6,M,
,Japan,JPN,EQ,39.7907,141.7934,2025,02,06,2025,02,06,4.6,M,
,Greece,GRC,EQ,36.5727,25.5906,2025,02,06,2025,02,06,4.5,M,
,Madagascar,MDG,FL,-19.0054169,48.8687199169093,2025,02,04,2025,02,06,0.0,,
,Argentina,ARG,FL,-32.8166653,-60.7166716,2025,01,25,2025,02,06,0.0,,
,Australia,AUS,WF,-37.294849135415824,142.29713526600776,2025,01,27,2025,02,06,66791.0,ha,
,Australia,AUS,WF,-23.64620914193076,133.42263713805625,2025,01,28,2025,02,06,52421.0,ha,
,Sudan,SDN,WF,8.922599226945335,31.86641696738327,2025,01,28,2025,02,06,11151.0,ha,
,Argentina,ARG,WF,-39.55152723145861,-71.27374736642963,2025,01,30,2025,02,06,9756.0,ha,
,Australia,AUS,WF,-41.54600538500932,144.9942942681785,2025,02,03,2025,02,06,12071.0,ha,
,Central African Republic,CAF,WF,7.590560231465581,21.28488346905262,2025,01,29,2025,02,06,7485.0,ha,
,Chad,TCD,WF,11.718614140806906,19.74594707024379,2025,02,03,2025,02,06,5688.0,ha,
,Argentina,ARG,WF,-41.87159400914621,-71.57446270555205,2025,01,30,2025,02,06,1896.0,ha,
,Argentina,ARG,WF,-29.546235675996385,-58.30192154366178,2025,02,03,2025,02,06,13599.0,ha,
,Chad,TCD,WF,14.424164508512549,19.811061624565365,2025,02,04,2025,02,06,9470.0,ha,
,Central African Republic,CAF,WF,6.906259725706808,25.142265797271254,2025,01,29,2025,02,06,6846.0,ha,
,Argentina,ARG,WF,-28.72112020073024,-60.447795168425365,2025,01,29,2025,02,06,5235.0,ha,
,Australia,AUS,WF,-21.83254646420518,130.65086491802245,2025,01,28,2025,02,06,5234.0,ha,
,Sudan,SDN,WF,8.30778111989176,32.8379558979108,2025,02,02,2025,02,06,5174.0,ha,
,Central African Republic,CAF,WF,6.371362803398248,23.488053789671834,2025,01,31,2025,02,06,5138.0,ha,
,Central African Republic,CAF,WF,6.526013737617227,25.62825103530318,2025,01,30,2025,02,06,5095.0,ha,
,,,EQ,-39.0218,-92.6005,2025,02,05,2025,02,05,4.6,M,
,,,EQ,-19.0936,-172.6221,2025,02,05,2025,02,05,5.0,M,
,Greece,GRC,EQ,36.6542,25.6259,2025,02,05,2025,02,05,5.1,M,
,,,EQ,-11.4468,117.237,2025,02,05,2025,02,05,4.7,M,
,Greece,GRC,EQ,36.5579,25.6814,2025,02,05,2025,02,05,4.8,M,
,Indonesia,IDN,EQ,-9.7446,119.6086,2025,02,05,2025,02,05,4.6,M,
,Greece,GRC,EQ,36.638,25.5914,2025,02,05,2025,02,05,4.8,M,
,Greece,GRC,EQ,36.6917,25.5912,2025,02,05,2025,02,05,4.7,M,
,Greece,GRC,EQ,36.5653,25.653,2025,02,05,2025,02,05,4.9,M,
,Chile,CHL,EQ,-20.2878,-69.2301,2025,02,05,2025,02,05,4.9,M,
,Ecuador,ECU,EQ,-1.8053,-78.0667,2025,02,05,2025,02,05,4.9,M,
,United States,USA,EQ,54.744,-158.068,2025,02,05,2025,02,05,4.7,M,
,Vanuatu,VUT,EQ,-19.1985,168.7218,2025,02,05,2025,02,05,4.8,M,
,Guatemala,GTM,EQ,13.8202,-91.5748,2025,02,05,2025,02,05,5.6,M,
,Indonesia,IDN,EQ,1.5585,127.1409,2025,02,05,2025,02,05,5.5,M,
,,,EQ,-35.3171,178.8129,2025,02,05,2025,02,05,4.9,M,
,,,EQ,-22.5598,-12.7353,2025,02,05,2025,02,05,4.9,M,
,Namibia,NAM,FL,-22.5776104,17.0772739,2025,02,03,2025,02,05,0.0,,
,The Democratic Republic of Congo,COD,WF,4.390541634569416,29.67699471755156,2025,02,01,2025,02,05,7975.0,ha,
,Australia,AUS,WF,-23.714115300584037,133.23540066713554,2025,02,01,2025,02,05,5624.0,ha,
,Chad,TCD,WF,10.736114246423629,19.60030405544991,2025,01,28,2025,02,05,5885.0,ha,
,Central African Republic,CAF,WF,6.545947088093261,24.554401507660867,2025,01,29,2025,02,05,9867.0,ha,
,Argentina,ARG,WF,-44.112748418158176,-71.53285612195715,2025,01,29,2025,02,05,6353.0,ha,
FIFTEEN-25,"Vanuatu, New Caledonia",NCL,TC,-21.3,174.1,2025,02,02,2025,02,05,83.3328,km/h,
,The Democratic Republic of Congo,COD,WF,4.167980211664403,29.54836539438865,2025,01,30,2025,02,05,5735.0,ha,
,Russia,RUS,EQ,46.4936,153.5492,2025,02,04,2025,02,04,5.0,M,
,China,CHN,EQ,41.2848,83.8028,2025,02,04,2025,02,04,5.0,M,
,Greece,GRC,EQ,36.5432,25.5937,2025,02,04,2025,02,04,4.7,M,
,China,CHN,EQ,38.2135,76.4607,2025,02,04,2025,02,04,4.9,M,
,United States,USA,EQ,53.3414,-163.9228,2025,02,04,2025,02,04,4.6,M,
,United States,USA,EQ,53.4129,-163.957,2025,02,04,2025,02,04,5.0,M,
,,,EQ,30.7758,-40.982,2025,02,04,2025,02,04,5.1,M,
,Indonesia,IDN,EQ,-7.066,131.0192,2025,02,04,2025,02,04,4.6,M,
,,,EQ,31.006,-41.4299,2025,02,04,2025,02,04,5.0,M,
,,,EQ,-0.3804,-19.5069,2025,02,04,2025,02,04,4.9,M,
,Greece,GRC,EQ,36.6246,25.6082,2025,02,04,2025,02,04,4.5,M,
,,,EQ,-15.1336,-172.7475,2025,02,04,2025,02,04,4.9,M,
,Greece,GRC,EQ,36.4572,25.5722,2025,02,04,2025,02,04,5.3,M,
,Greece,GRC,EQ,36.4717,25.497,2025,02,04,2025,02,04,4.7,M,
,,,EQ,-15.9822,-171.8256,2025,02,04,2025,02,04,4.6,M,
,Papua New Guinea,PNG,EQ,-5.5488,151.8717,2025,02,04,2025,02,04,5.2,M,
,Greece,GRC,EQ,36.6545,25.6596,2025,02,04,2025,02,04,4.7,M,
,Greece,GRC,EQ,36.5152,25.701,2025,02,04,2025,02,04,4.5,M,
,Ecuador,ECU,EQ,-3.6359,-80.0204,2025,02,04,2025,02,04,4.6,M,
,Greece,GRC,EQ,36.5778,25.6669,2025,02,04,2025,02,04,4.6,M,
,Greece,GRC,EQ,36.6609,25.6429,2025,02,04,2025,02,04,4.7,M,
,Russia,RUS,EQ,65.3924,-168.8886,2025,02,04,2025,02,04,4.5,M,
,,,EQ,-22.8723,-12.8337,2025,02,04,2025,02,04,4.9,M,
,Greece,GRC,EQ,36.5816,25.636,2025,02,04,2025,02,04,5.1,M,
,,,EQ,-38.94,-92.496,2025,02,04,2025,02,04,5.7,M,
,United States,USA,FL,38.4838305,-122.885660575243,2025,02,02,2025,02,04,0.0,,
,Central African Republic,CAF,WF,6.585984745827223,25.058484021222263,2025,01,25,2025,02,04,10376.0,ha,
,Ghana,GHA,WF,7.044105874080034,-2.8735749802971253,2025,01,25,2025,02,04,9545.0,ha,
,Australia,AUS,WF,-18.171704188049798,135.37777735987646,2025,01,30,2025,02,04,5237.0,ha,
,Australia,AUS,WF,-36.612048904239145,141.42690472083171,2025,02,02,2025,02,04,12362.0,ha,
,The Democratic Republic of Congo,COD,WF,4.720875538140766,26.351639821303507,2025,01,30,2025,02,04,8014.0,ha,
,The Democratic Republic of Congo,COD,WF,4.268963531204435,29.44556842388417,2025,01,28,2025,02,04,8260.0,ha,
,Australia,AUS,WF,-21.290730136630568,136.2588948833967,2025,01,30,2025,02,04,9272.0,ha,
,Australia,AUS,WF,-37.12739019425914,142.32755456173916,2025,01,27,2025,02,04,11886.0,ha,
,Australia,AUS,WF,-21.568572171482053,129.7625046905945,2025,01,31,2025,02,04,6829.0,ha,
,Australia,AUS,WF,-22.104027452297974,130.6330624971661,2025,01,27,2025,02,04,40063.0,ha,
"Syria, Lebanon, Türkiye-2024","Israel, Iraq, Jordan, Lebanon, Syria, Türkiye",ISR,DR,36.043,37.976,2024,10,21,2025,02,04,147626.0,km2,
,Central African Republic,CAF,WF,7.695966920392856,23.61296534939995,2025,01,25,2025,02,04,8414.0,ha,
Eastern Europe-2023,"Hungary, Poland, Romania, Slovakia, Ukraine",HUN,DR,47.914,22.097,2023,05,21,2025,02,04,91316.0,km2,
South America-2023,"Bolivia, Brazil, Colombia, Ecuador, Guyana, Panama, Peru, Paraguay, Venezuela",BOL,DR,-10.479,-63.464,2022,09,21,2025,02,04,1732137.0,km2,
Southern Europe-2023,"Bulgaria, Spain, Greece, Italy, Malta, Türkiye",BGR,DR,39.997,25.488,2023,08,11,2025,02,04,72435.0,km2,
Northern Africa-2023,"Algeria, Spain, Morocco, Tunisia",DZA,DR,33.398,-4.705,2023,09,21,2025,02,04,328346.0,km2,
Southern Africa-2023,"Angola, Botswana, Democratic Republic of Congo, Lesotho, Malawi, Mozambique, Namibia, Tanzania, South Africa, Zambia, Zimbabwe",AGO,DR,-17.945,30.041,2023,08,21,2025,02,04,1357264.0,km2,
Madagascar-2023,Madagascar,MDG,DR,-20.87,46.81,2023,10,21,2025,02,04,321962.0,km2,
"Mexico, South USA-2024","Mexico, United States",MEX,DR,28.249,-106.226,2024,02,21,2025,02,04,239808.0,km2,
Nigeria - Eastern Gulf of Guinea-2024,"Cameroon, Gabon, Equatorial Guinea, Nigeria",CMR,DR,4.073,10.8,2024,02,21,2025,02,04,152371.0,km2,
