Year,Disaster Group,Disaster Subgroup,Disaster Type,ISO,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damages ('000 US$),CPI,Magnitude,Magnitude Scale
1999,Natural,Climatological,Drought,DJI,,,2001,6.0,,2001,,,,,100000.0,,100000.0,,58.11147437438208,,Km2
1999,Natural,Climatological,Drought,SDN,,,2000,1.0,,2001,,,,,2000000.0,,2000000.0,,56.51429055927763,,Km2
1999,Natural,Climatological,Drought,SOM,,,2000,1.0,,2001,,,21.0,,1200000.0,,1200000.0,,56.51429055927763,,Km2
2000,Technological,Transport,Road,AGO,,,2000,1.0,26.0,2000,1.0,26.0,14.0,11.0,,,11.0,,56.51429055927763,,nan
2000,Natural,Hydrological,Flood,AGO,,,2000,1.0,8.0,2000,1.0,15.0,31.0,,70000.0,,70000.0,17695.0,56.51429055927763,47000.0,Km2
2000,Natural,Meteorological,Extreme temperature,BGD,,,2000,1.0,,2000,1.0,,49.0,,,,,,56.51429055927763,6.4,°C
2000,Technological,Transport,Road,BRA,,,2000,1.0,12.0,2000,1.0,12.0,42.0,71.0,,,71.0,,56.51429055927763,,nan
2000,Technological,Transport,Road,CHN,,,2000,1.0,1.0,2000,1.0,1.0,22.0,29.0,,,29.0,,56.51429055927763,,nan
2000,Technological,Miscellaneous accident,Fire (Miscellaneous),CHN,,,2000,1.0,9.0,2000,1.0,9.0,12.0,18.0,,,18.0,,56.51429055927763,,nan
2000,Technological,Transport,Road,EGY,,,2000,1.0,13.0,2000,1.0,13.0,21.0,19.0,,,19.0,,56.51429055927763,,nan
2000,Natural,Geophysical,Volcanic activity,GTM,14.381,-90.601,2000,1.0,16.0,2000,1.0,16.0,,,800.0,,800.0,,56.51429055927763,,nan
2000,Natural,Meteorological,Storm,IRN,,,2000,1.0,18.0,2000,1.0,18.0,3.0,,,5500.0,5500.0,,56.51429055927763,120.0,Kph
2000,Technological,Transport,Road,IDN,,,2000,1.0,5.0,2000,1.0,5.0,13.0,22.0,,,22.0,,56.51429055927763,,nan
2000,Technological,Transport,Road,IDN,,,2000,1.0,3.0,2000,1.0,3.0,13.0,,,,,,56.51429055927763,,nan
2000,Natural,Hydrological,Flood,MOZ,,,2000,1.0,26.0,2000,3.0,27.0,800.0,,4500000.0,,4500000.0,741759.0,56.51429055927763,1980.0,Km2
2000,Technological,Transport,Road,NGA,,,2000,1.0,19.0,2000,1.0,19.0,40.0,35.0,,,35.0,,56.51429055927763,,nan
2000,Technological,Transport,Road,MWI,,,2000,1.0,10.0,2000,1.0,10.0,15.0,25.0,,,25.0,,56.51429055927763,,nan
