Disaster Group,Disaster Subgroup,Disaster Type,ISO,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Total Damages ('000 US$),Magnitude,Magnitude Scale
Natural,Geophysical,Earthquake,DZA,35.7,4.4,1965,1.0,1.0,1965,1.0,1.0,2.0,350.0,37000.0,12000.0,49350.0,2000.0,6.0,Richter
Natural,Geophysical,Earthquake,GRC,39.368,24.957,1968,2.0,20.0,1968,2.0,20.0,19.0,18.0,4000.0,3600.0,7618.0,600.0,7.0,Richter
Natural,Geophysical,Earthquake,ECU,-4.026,-80.542,1970,12.0,9.0,1970,12.0,9.0,29.0,120.0,60000.0,27992.0,88112.0,4000.0,7.0,Richter
Natural,Geophysical,Earthquake,CRI,10.679,-84.759,1973,4.0,14.0,1973,4.0,14.0,21.0,98.0,3563.0,84.0,3745.0,200.0,7.0,Richter
Natural,Geophysical,Earthquake,GTM,15.324,-89.101,1976,2.0,4.0,1976,2.0,4.0,23000.0,77000.0,3750000.0,1166000.0,4993000.0,1000000.0,8.0,Richter
Natural,Geophysical,Earthquake,JPN,35.632,135.013,1927,3.0,7.0,1927,3.0,7.0,3022.0,3295.0,29463.0,46782.0,79540.0,40000.0,7.0,Richter
Natural,Geophysical,Earthquake,SLV,13.5,-89.3,1965,5.0,3.0,1965,5.0,3.0,125.0,1138.0,90582.0,48000.0,139720.0,35000.0,6.0,Richter
Natural,Geophysical,Earthquake,PER,-10.665,-78.228,1966,10.0,17.0,1966,10.0,17.0,120.0,1500.0,57600.0,49256.0,108356.0,15000.0,8.0,Richter
Natural,Geophysical,Earthquake,TUR,40.751,30.8,1967,7.0,22.0,1967,7.0,22.0,183.0,360.0,238713.0,87000.0,326073.0,3000.0,7.0,Richter
Natural,Geophysical,Earthquake,TUR,38.934,40.653,1971,5.0,22.0,1971,5.0,22.0,878.0,1200.0,60000.0,27465.0,88665.0,5000.0,7.0,Richter
Natural,Geophysical,Earthquake,NIC,12.184,-86.223,1972,12.0,23.0,1972,12.0,23.0,10000.0,20000.0,400000.0,300000.0,720000.0,845000.0,6.0,Richter
Natural,Geophysical,Earthquake,PAK,35.1,72.9,1974,12.0,28.0,1974,12.0,28.0,4700.0,15000.0,30000.0,5200.0,50200.0,3255.0,6.0,Richter
Natural,Geophysical,Earthquake,ITA,46.356,13.275,1976,5.0,6.0,1976,5.0,6.0,922.0,1750.0,111472.0,105000.0,218222.0,3600000.0,7.0,Richter
Natural,Geophysical,Earthquake,TUR,39.121,44.029,1976,11.0,24.0,1976,11.0,24.0,3840.0,15000.0,150000.0,51000.0,216000.0,25000.0,7.0,Richter
Natural,Geophysical,Earthquake,ROU,45.772,26.761,1977,3.0,4.0,1977,3.0,4.0,1641.0,11300.0,200000.0,175000.0,386300.0,2000000.0,8.0,Richter
Natural,Geophysical,Earthquake,TON,-22.878,-175.9,1977,6.0,23.0,1977,6.0,23.0,1.0,5.0,5000.0,500.0,5505.0,1200.0,7.0,Richter
Natural,Geophysical,Earthquake,YUG,44.9,17.3,1969,10.0,26.0,1969,10.0,26.0,15.0,1116.0,200000.0,85000.0,286116.0,50000.0,6.0,Richter
Natural,Geophysical,Earthquake,DZA,36.195,1.354,1980,10.0,10.0,1980,10.0,10.0,2633.0,8369.0,478948.0,443000.0,930317.0,5200000.0,7.0,Richter
Natural,Geophysical,Earthquake,AFG,34.01 N,71.40 E,1983,12.0,16.0,1983,12.0,16.0,12.0,483.0,27440.0,6580.0,34503.0,3000.0,7.0,Richter
Natural,Geophysical,Earthquake,CHL,-33.135,-71.871,1985,3.0,3.0,1985,3.0,3.0,180.0,2483.0,979792.0,500000.0,1482275.0,1500000.0,8.0,Richter
Natural,Geophysical,Earthquake,CHN,22.789,99.611,1988,11.0,6.0,1988,11.0,6.0,939.0,3364.0,1000000.0,267000.0,1270364.0,269000.0,8.0,Richter
Natural,Geophysical,Earthquake,IDN,8.21 S,115.95 E,1979,5.0,30.0,1979,5.0,30.0,34.0,48.0,18000.0,18000.0,36048.0,4150.0,6.0,Richter
Natural,Geophysical,Earthquake,NPL,29.598,81.092,1980,7.0,29.0,1980,7.0,29.0,100.0,5600.0,200000.0,35000.0,240600.0,245000.0,7.0,Richter
Natural,Geophysical,Earthquake,IDN,-8.405,123.08,1982,12.0,25.0,1982,12.0,25.0,13.0,417.0,6400.0,2000.0,8817.0,1450.0,6.0,Richter
Natural,Geophysical,Earthquake,MEX,18.19,-102.533,1985,9.0,19.0,1985,9.0,19.0,9500.0,30204.0,2000000.0,100000.0,2130204.0,4104000.0,8.0,Richter
Natural,Geophysical,Earthquake,IDN,-8.247,124.155,1987,11.0,26.0,1987,11.0,26.0,125.0,100.0,16000.0,1000.0,17100.0,5000.0,7.0,Richter
Natural,Geophysical,Earthquake,YUG,42.096,19.209,1979,4.0,15.0,1979,4.0,15.0,121.0,100.0,300000.0,10000.0,310100.0,450000.0,7.0,Richter
Natural,Geophysical,Earthquake,TUR,40.33,42.187,1983,10.0,30.0,1983,10.0,30.0,1346.0,1137.0,800000.0,33000.0,834137.0,25000.0,7.0,Richter
