Event Name,Country,ISO,Disaster Group,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Magnitude,Losses
,,,EQ,-19.0936,-172.6221,2025,02,05,2025,02,05,,
,Greece,GRC,EQ,36.6542,25.6259,2025,02,05,2025,02,05,,
,,,EQ,-11.4468,117.237,2025,02,05,2025,02,05,,
VINCE-25,Cocos (Keeling) Islands,,TC,-18.79,83.91,2025,02,01,2025,02,05,,
TALIAH-25,,,TC,-14.8,106.0,2025,02,02,2025,02,05,,
,Greece,GRC,EQ,36.5579,25.6814,2025,02,05,2025,02,05,,
,Indonesia,IDN,EQ,-9.7446,119.6086,2025,02,05,2025,02,05,,
,Greece,GRC,EQ,36.638,25.5914,2025,02,05,2025,02,05,,
"China, Vietnam, Laos-2024","China, Laos, Myanmar, Thailand, Vietnam",CHN,DR,29.359,112.939,2024,05,21,2025,02,05,,
Southern Russia - Eastern Ukraine-2024,"Belarus, Russia, Ukraine",BLR,DR,48.251,37.254,2024,03,21,2025,02,05,,
Eastern Europe-2023,"Hungary, Poland, Romania, Slovakia, Ukraine",HUN,DR,47.914,22.097,2023,05,21,2025,02,05,,
Southern Europe-2023,"Bulgaria, Spain, Greece, Italy, Malta, Türkiye",BGR,DR,39.997,25.488,2023,08,11,2025,02,05,,
Northern Africa-2023,"Algeria, Spain, Morocco, Tunisia",DZA,DR,33.398,-4.705,2023,09,21,2025,02,05,,
Western Africa-2024,"Guinea, Liberia, Sierra Leone",GIN,DR,8.222,-10.348,2024,02,21,2025,02,05,,
Northern UK and Ireland-2024,"Ireland, , ",IRL,DR,54.829,-5.953,2024,10,21,2025,02,05,,
"Syria, Lebanon, Türkiye-2024","Israel, Iraq, Jordan, Lebanon, Syria, Türkiye",ISR,DR,36.043,37.976,2024,10,21,2025,02,05,,
Eastern USA-2024,United States,USA,DR,39.125,-76.243,2024,10,21,2025,02,05,,
Central Argentina-2024,Argentina,ARG,DR,-38.5,-67.5,2024,08,21,2025,02,05,,
Nigeria - Eastern Gulf of Guinea-2024,"Cameroon, Gabon, Equatorial Guinea, Nigeria",CMR,DR,4.073,10.8,2024,02,21,2025,02,05,,
United States of America-2024,"Canada, United States",CAN,DR,29.981,-96.72,2024,06,21,2025,02,05,,
North-East Brazil-2024,Brazil,BRA,DR,-10.317,-37.764,2024,07,21,2025,02,05,,
"Mexico, South USA-2024","Mexico, United States",MEX,DR,28.249,-106.226,2024,02,21,2025,02,05,,
Madagascar-2023,Madagascar,MDG,DR,-20.87,46.81,2023,10,21,2025,02,05,,
Southern Africa-2023,"Angola, Botswana, Democratic Republic of Congo, Lesotho, Malawi, Mozambique, Namibia, Tanzania, South Africa, Zambia, Zimbabwe",AGO,DR,-17.945,30.041,2023,08,21,2025,02,05,,
South America-2023,"Bolivia, Brazil, Colombia, Ecuador, Guyana, Panama, Peru, Paraguay, Venezuela",BOL,DR,-10.479,-63.464,2022,09,21,2025,02,05,,
,Greece,GRC,EQ,36.6917,25.5912,2025,02,05,2025,02,05,,
,Greece,GRC,EQ,36.5653,25.653,2025,02,05,2025,02,05,,
